Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
195901,0.22
195902,0.05
195903,0.57
195904,0.26
195905,-0.08
195906,0.18
195907,0.10
195908,0.04
195909,0.12
195910,-0.18
195911,-0.34
195912,-0.02
196001,0.05
196002,0.65
196003,-0.74
196004,-0.23
196005,-0.44
196006,0.14
196007,-0.10
196008,0.02
196009,0.07
196010,0.02
196011,-0.25
196012,0.65
196101,0.31
196102,0.40
196103,0.41
196104,0.18
196105,0.24
196106,0.16
196107,0.00
196108,0.01
196109,0.02
196110,-0.22
196111,0.05
196112,-0.17
196201,0.35
196202,0.49
196203,0.33
196204,0.19
196205,0.00
196206,-0.15
196207,-0.02
196208,-0.05
196209,0.01
196210,0.16
196211,0.18
196212,0.34
196301,0.16
196302,0.90
196303,0.03
196304,-0.17
196305,-0.20
196306,-0.11
196307,0.17
196308,0.21
196309,0.32
196310,0.60
196311,0.46
196312,0.13
196401,0.12
196402,-0.20
196403,-0.30
196404,-0.36
196405,-0.10
196406,-0.16
196407,-0.16
196408,-0.20
196409,-0.30
196410,-0.49
196411,-0.16
196412,-0.35
196501,0.11
196502,-0.38
196503,-0.09
196504,-0.42
196505,-0.11
196506,-0.07
196507,-0.17
196508,-0.18
196509,-0.16
196510,0.14
196511,-0.25
196512,0.05
196601,-0.16
196602,-0.04
196603,0.11
196604,-0.29
196605,-0.04
196606,0.18
196607,0.16
196608,0.08
196609,0.08
196610,-0.15
196611,-0.17
196612,-0.48
196701,-0.22
196702,-0.39
196703,0.08
196704,0.12
196705,0.33
196706,-0.21
196707,-0.12
196708,-0.12
196709,-0.10
196710,0.52
196711,0.09
196712,0.11
196801,-0.35
196802,-0.07
196803,0.86
196804,-0.04
196805,-0.22
196806,-0.23
196807,-0.16
196808,-0.18
196809,-0.21
196810,-0.12
196811,-0.20
196812,-0.48
196901,-1.05
196902,-0.88
196903,-0.05
196904,0.10
196905,0.04
196906,-0.04
196907,0.11
196908,0.00
196909,-0.07
196910,-0.04
196911,0.40
196912,0.47
197001,0.07
197002,0.56
197003,-0.13
197004,0.21
197005,0.01
197006,0.13
197007,0.09
197008,-0.02
197009,0.03
197010,-0.22
197011,-0.02
197012,-0.23
197101,0.11
197102,-0.37
197103,-0.14
197104,-0.15
197105,-0.09
197106,-0.17
197107,-0.07
197108,-0.04
197109,0.11
197110,-0.03
197111,0.38
197112,0.16
197201,-0.89
197202,-0.76
197203,0.02
197204,0.03
197205,-0.06
197206,0.07
197207,-0.06
197208,0.05
197209,-0.22
197210,-0.07
197211,-0.24
197212,0.15
197301,0.29
197302,0.81
197303,0.79
197304,0.50
197305,0.35
197306,0.47
197307,0.23
197308,0.15
197309,0.06
197310,0.09
197311,0.01
197312,0.28
197401,-0.62
197402,-0.65
197403,0.09
197404,0.09
197405,-0.05
197406,-0.09
197407,0.05
197408,-0.05
197409,-0.17
197410,-0.29
197411,-0.23
197412,-0.31
197501,0.39
197502,0.13
197503,0.43
197504,0.29
197505,0.23
197506,0.19
197507,0.09
197508,-0.09
197509,0.22
197510,-0.12
197511,-0.17
197512,0.08
197601,0.27
197602,-0.21
197603,-0.66
197604,0.10
197605,-0.17
197606,-0.22
197607,-0.23
197608,-0.20
197609,-0.05
197610,-0.84
197611,-0.44
197612,-0.14
197701,-0.48
197702,0.31
197703,0.67
197704,0.58
197705,0.42
197706,0.45
197707,0.21
197708,0.09
197709,0.16
197710,-0.05
197711,0.56
197712,0.07
197801,0.16
197802,0.20
197803,0.47
197804,0.30
197805,0.04
197806,-0.09
197807,-0.03
197808,-0.23
197809,0.01
197810,0.07
197811,0.32
197812,0.04
197901,-0.06
197902,-0.17
197903,0.28
197904,-0.20
197905,0.09
197906,0.13
197907,0.10
197908,0.17
197909,0.19
197910,0.34
197911,0.24
197912,0.97
198001,0.19
198002,0.43
198003,0.03
198004,0.44
198005,0.49
198006,0.26
198007,0.22
198008,0.24
198009,0.20
198010,0.25
198011,0.64
198012,0.39
198101,1.20
198102,0.90
198103,0.97
198104,0.69
198105,0.32
198106,0.28
198107,0.21
198108,0.38
198109,0.14
198110,0.05
198111,0.29
198112,0.90
198201,-0.13
198202,0.17
198203,-0.14
198204,0.33
198205,0.14
198206,-0.02
198207,0.19
198208,0.12
198209,0.23
198210,-0.06
198211,-0.18
198212,0.72
198301,0.89
198302,0.86
198303,0.62
198304,0.23
198305,0.32
198306,0.18
198307,0.34
198308,0.52
198309,0.50
198310,0.26
198311,0.99
198312,0.32
198401,0.37
198402,-0.01
198403,0.46
198404,0.08
198405,0.60
198406,0.07
198407,0.05
198408,0.15
198409,-0.10
198410,0.05
198411,-0.22
198412,-0.73
198501,0.32
198502,-0.35
198503,0.29
198504,0.27
198505,0.30
198506,0.11
198507,-0.11
198508,0.20
198509,-0.05
198510,0.05
198511,0.00
198512,0.21
198601,0.76
198602,0.53
198603,0.63
198604,0.52
198605,0.43
198606,0.31
198607,0.06
198608,0.18
198609,0.03
198610,0.08
198611,-0.05
198612,0.16
198701,0.48
198702,1.16
198703,0.13
198704,0.33
198705,0.42
198706,0.31
198707,0.55
198708,0.33
198709,0.48
198710,0.20
198711,0.09
198712,0.91
198801,0.81
198802,0.36
198803,0.75
198804,0.70
198805,0.55
198806,0.64
198807,0.52
198808,0.46
198809,0.51
198810,0.47
198811,0.40
198812,0.82
198901,0.20
198902,0.48
198903,0.66
198904,0.34
198905,0.37
198906,0.21
198907,0.29
198908,0.27
198909,0.27
198910,0.37
198911,0.17
198912,0.74
199001,0.56
